0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 32 9 23
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 4 0 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 36
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
431260,443828,2338,0,10,5,1004,700,0,0,0,0,0,2,
431087,443728,2338,0,11,4,1005,700,0,0,0,0,0,2,
431140,443728,2340,0,13,6,1008,700,0,0,0,0,0,2,
431143,443698,2340,0,13,5,1007,699,0,0,0,0,0,3,
431177,443703,2340,0,13,3,1006,699,0,0,0,0,0,3,
431326,443777,2341,0,12,4,1006,699,0,0,0,0,0,3,
431485,443832,2345,0,12,4,1006,699,0,0,0,0,0,3,
431673,443920,2348,0,12,6,1005,699,0,0,0,0,0,3,
431788,443947,2351,0,13,4,1004,699,0,0,0,0,0,3,
431858,443934,2352,0,11,5,1006,699,0,0,0,0,0,3,
432003,444035,2348,0,12,5,1007,699,0,0,0,0,0,3,
432187,444079,2353,0,11,6,1006,699,0,0,0,0,0,3,
432275,444109,2356,0,12,6,1004,699,0,0,0,0,0,3,
432382,444138,2358,0,13,5,1003,699,0,0,0,0,0,3,
432548,444211,2360,0,12,5,1008,699,0,0,0,0,0,3,
432635,444244,2356,0,14,4,1009,699,0,0,0,0,0,3,
432191,444020,2351,0,12,5,1007,699,0,0,0,0,0,3,
431205,443582,2335,0,13,5,1007,699,0,0,0,0,0,3,
430857,443419,2328,0,14,5,1006,699,0,0,0,0,0,3,
430959,443465,2329,0,12,6,1006,699,0,0,0,0,0,3,
431066,443512,2329,0,15,6,1005,699,0,0,0,0,0,3,
431185,443536,2328,0,14,4,1008,699,0,0,0,0,0,3,
431455,443643,2337,0,14,4,1004,699,0,0,0,0,0,3,
431901,443847,2343,0,13,4,1005,699,0,0,0,0,0,3,
432180,443947,2347,0,12,4,1006,699,0,0,0,0,0,3,
432196,443931,2348,0,14,3,1005,699,0,0,0,0,0,3,
432229,443892,2347,0,14,5,1007,699,0,0,0,0,0,3,
432193,443837,2353,0,13,3,1005,699,0,0,0,0,0,3,
432224,443826,2356,0,13,6,1005,699,0,0,0,0,0,3,
432316,443845,2360,0,14,4,1006,699,0,0,0,0,0,3,
432418,443896,2364,0,12,4,1006,699,0,0,0,0,0,3,
432668,443969,2362,0,13,4,1006,699,0,0,0,0,0,3,
432752,443978,2364,0,13,4,1007,699,0,0,0,0,0,3,
432849,444020,2368,0,14,4,1006,699,0,0,0,0,0,3,
432965,444060,2370,0,13,4,1006,699,0,0,0,0,0,3,
433013,444067,2372,0,14,5,1008,699,0,0,0,0,0,3,
433093,444064,2372,0,13,3,1006,699,0,0,0,0,0,3,
433205,444102,2372,0,13,5,1007,699,0,0,0,0,0,3,
433156,444046,2374,0,14,5,1006,700,0,0,0,0,0,3,
432521,443729,2362,0,13,4,1003,700,0,0,0,0,0,3,
431458,443251,2344,0,14,6,1007,700,0,0,0,0,0,3,
430997,442999,2337,0,15,5,1007,700,0,0,0,0,0,3,
430792,442885,2330,0,16,5,1007,700,0,0,0,0,0,3,
430756,442872,2330,0,16,4,1007,700,0,0,0,0,0,3,
430813,442877,2330,0,13,4,1007,700,0,0,0,0,0,3,
430992,442959,2334,0,12,6,1007,700,0,0,0,0,0,3,
431183,443025,2334,0,13,5,1007,700,0,0,0,0,0,3,
431205,443011,2331,0,14,6,1008,700,0,0,0,0,0,3,
431299,443075,2330,0,15,6,1005,700,0,0,0,0,0,3,
431426,443110,2331,0,13,6,1006,700,0,0,0,0,0,3,
431654,443199,2332,0,13,4,1008,700,0,0,0,0,0,3,
431900,443307,2336,0,15,5,1008,700,0,0,0,0,0,3,
432089,443358,2338,0,15,3,1006,700,0,0,0,0,0,3,
432308,443428,2337,0,14,6,1005,702,0,0,0,0,0,3,
432486,443467,2339,0,15,4,1005,702,0,0,0,0,0,3,
432636,443544,2342,0,14,4,1002,702,0,0,0,0,0,3,
432740,443546,2342,0,14,3,1007,702,0,0,0,0,0,3,
432691,443473,2344,0,13,3,1005,702,0,0,0,0,0,3,
432689,443436,2341,0,11,5,1009,703,0,0,0,0,0,3,
432663,443379,2345,0,16,4,1006,703,0,0,0,0,0,3,
432545,443283,2349,0,15,5,1007,703,0,0,0,0,0,3,
432256,443114,2345,0,13,5,1004,703,0,0,0,0,0,3,
431218,442653,2326,0,15,5,1009,703,0,0,0,0,0,3,
430451,442327,2310,0,14,4,1005,704,0,0,0,0,0,3,
430248,442239,2302,0,13,5,1006,704,0,0,0,0,0,3,
430273,442268,2305,0,14,4,1005,704,0,0,0,0,0,3,
430310,442272,2304,0,15,2,1005,704,0,0,0,0,0,3,
430360,442255,2303,0,15,5,1007,704,0,0,0,0,0,3,
430520,442298,2305,0,15,6,1006,705,0,0,0,0,0,3,
430697,442376,2304,0,14,3,1007,705,0,0,0,0,0,3,
430611,442302,2310,0,13,4,1005,705,0,0,0,0,0,3,
430523,442253,2310,0,12,4,1006,705,0,0,0,0,0,3,
430503,442251,2311,0,14,4,1008,705,0,0,0,0,0,3,
430439,442205,2314,0,14,5,1007,706,0,0,0,0,0,3,
430641,442312,2314,0,13,5,1008,706,0,0,0,0,0,3,
430872,442428,2318,0,12,3,1006,706,0,0,0,0,0,3,
431018,442454,2324,0,14,4,1002,706,0,0,0,0,0,3,
430988,442437,2329,0,15,6,1006,706,0,0,0,0,0,3,
