0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 32 9 23
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 4 0 
algo only 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 36
1.32 who accel 0 1b
hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
600,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
700,0,0,0,0,0,2,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
699,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
700,0,0,0,0,0,1,
702,0,0,0,0,0,1,
702,0,0,0,0,0,1,
702,0,0,0,0,0,1,
702,0,0,0,0,0,1,
702,0,0,0,0,0,1,
703,0,0,0,0,0,1,
703,0,0,0,0,0,1,
703,0,0,0,0,0,1,
703,0,0,0,0,0,1,
703,0,0,0,0,0,1,
704,0,0,0,0,0,1,
704,0,0,0,0,0,1,
704,0,0,0,0,0,1,
704,0,0,0,0,0,1,
704,0,0,0,0,0,1,
705,0,0,0,0,0,1,
705,0,0,0,0,0,1,
705,0,0,0,0,0,1,
705,0,0,0,0,0,1,
705,0,0,0,0,0,1,
706,0,0,0,0,0,1,
706,0,0,0,0,0,1,
706,0,0,0,0,0,1,
706,0,0,0,0,0,1,
706,0,0,0,0,0,1,
709,0,0,0,0,0,1,
709,0,0,0,0,0,1,
709,0,0,0,0,0,1,
709,0,0,0,0,0,1,
709,0,0,0,0,0,1,
711,0,0,0,0,0,1,
711,0,0,0,0,0,1,
711,0,0,0,0,0,1,
711,0,0,0,0,0,1,
711,0,0,0,0,0,1,
714,0,0,0,0,0,1,
714,0,0,0,0,0,1,
714,0,0,0,0,0,1,
714,0,0,0,0,0,1,
714,0,0,0,0,0,1,
716,0,0,0,0,0,1,
716,0,0,0,0,0,1,
716,0,0,0,0,0,1,
716,0,0,0,0,0,1,
716,0,0,0,0,0,1,
650,100,0,0,0,0,1,
650,100,0,0,0,0,1,
650,100,0,0,0,0,1,
650,100,0,0,0,0,1,
650,100,0,0,0,0,1,
650,100,0,0,0,0,1,
650,100,0,0,0,0,1,
739,100,0,0,0,0,1,
735,100,0,0,0,0,1,
731,100,0,0,0,0,1,
728,100,0,0,0,0,1,
728,100,0,0,0,0,1,
725,100,0,0,0,0,1,
722,100,0,0,0,0,1,
720,100,0,0,0,0,1,
724,100,0,0,0,0,1,
729,100,0,0,0,0,1,
730,100,0,0,0,0,1,
730,100,0,0,0,0,1,
729,100,0,0,0,0,1,
727,100,0,0,0,0,1,
724,100,0,0,0,0,1,
723,100,0,0,0,0,1,
722,100,0,0,0,0,1,
723,100,0,0,0,0,1,
722,100,0,0,0,0,1,
720,100,0,0,0,0,1,
718,100,0,0,0,0,1,
715,100,0,0,0,0,1,
712,100,0,0,0,0,1,
710,100,0,0,0,0,1,
707,100,0,0,0,0,1,
704,100,0,0,0,0,1,
702,100,0,0,0,0,1,
700,100,0,0,0,0,1,
701,100,0,0,0,0,1,
700,100,0,0,0,0,1,
695,100,0,0,0,0,1,
692,100,0,0,0,0,1,
690,100,0,0,0,0,1,
688,100,0,0,0,0,1,
684,100,0,0,0,0,1,
681,100,0,0,0,0,1,
679,100,0,0,0,0,1,
677,100,0,0,0,0,1,
676,100,0,0,0,0,1,
675,100,0,0,0,0,1,
676,100,0,0,0,0,1,
672,100,0,0,0,0,1,
670,100,0,0,0,0,1,
669,100,0,0,0,0,1,
667,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
667,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
667,100,0,0,0,0,1,
666,100,0,0,0,0,1,
667,100,0,0,0,0,1,
666,100,0,0,0,0,1,
667,100,0,0,0,0,1,
666,100,0,0,0,0,1,
666,100,0,0,0,0,1,
665,100,0,0,0,0,1,
666,100,0,0,0,0,1,
668,100,0,0,0,0,1,
669,100,0,0,0,0,1,
669,100,0,0,0,0,1,
667,100,0,0,0,0,1,
666,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
663,100,0,0,0,0,1,
663,100,0,0,0,0,1,
663,100,0,0,0,0,1,
662,100,0,0,0,0,1,
662,100,0,0,0,0,1,
662,100,0,0,0,0,1,
663,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
664,100,0,0,0,0,1,
665,100,0,0,0,0,1,
666,100,0,0,0,0,1,
666,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
666,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
669,100,0,0,0,0,1,
669,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
668,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
667,100,0,0,0,0,1,
666,100,0,0,0,0,1,
666,100,0,0,0,0,1,
666,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
665,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
664,100,0,0,0,0,1,
663,100,0,0,0,0,1,
663,100,0,0,0,0,1,
662,100,0,0,0,0,1,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
661,100,0,0,0,0,3,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
662,100,0,0,0,0,3,
661,100,0,0,0,0,3,
661,100,0,0,0,0,3,
660,100,0,0,0,0,3,
660,100,0,0,0,0,3,
660,100,0,0,0,0,3,
660,100,0,0,0,0,3,
660,100,0,0,0,0,3,
660,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
659,100,0,0,0,0,3,
658,100,0,0,0,0,3,
658,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
656,100,0,0,0,0,3,
656,100,0,0,0,0,3,
656,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
657,100,0,0,0,0,3,
656,100,0,0,0,0,3,
656,100,0,0,0,0,3,
656,100,0,0,0,0,3,
655,100,0,0,0,0,3,
655,100,0,0,0,0,3,
656,100,0,0,0,0,3,
656,100,0,0,0,0,3,
655,100,0,0,0,0,3,
655,100,0,0,0,0,3,
655,100,0,0,0,0,3,
655,100,990,0,0,0,3,
655,100,990,0,0,0,3,
655,100,990,0,0,0,3,
655,100,990,0,0,0,3,
655,100,990,0,0,0,3,
655,100,990,0,0,0,3,
655,100,990,0,0,0,3,
655,100,990,0,0,0,3,
716,100,990,0,0,0,3,
716,100,990,0,0,0,3,
716,100,990,0,0,0,3,
716,100,990,0,0,0,3,
716,100,990,0,0,0,3,
703,100,990,0,0,0,3,
703,100,990,0,0,0,3,
703,100,990,0,0,0,3,
703,100,990,0,0,0,3,
703,100,990,0,0,0,3,
690,100,990,0,0,0,3,
690,100,990,0,0,0,3,
690,100,990,0,0,0,3,
690,100,990,0,0,0,3,
690,100,990,0,0,0,3,
677,100,990,0,0,0,3,
677,100,990,0,0,0,3,
677,100,995,1,0,0,3,
677,100,995,1,0,0,3,
